Name,Address,Suburb,Postcode,Location,Area,
Yamanto Tavern,502-510 Warwick Rd,Yamanto,4305,Brisbane,Western Suburbs & Ipswich,
Woombye Hotel - Liquor Barn,3 Blackall St,Woombye,4559,,,
Criterion Hotel Warwick,84 Palmerin St,Warwick,4370,,,
Warwick Hotel,20 Palmerin Street,Warwick,4370,,,
Ivory Tavern,156 Wharf St,Tweed Heads,2485,NSW,Coffs Harbour & North Coast,
Consortium,159 Flinders Lane,Townsville,4810,QLD,Townsville & Northern QLD,
Heritage Bar & Grill,137 Flinders St,Townsville,4810,QLD,Townsville & Northern QLD,
Watermark Rest,72 The Strand,Townsville,4810,QLD,Townsville & Northern QLD,
Bank Nightclub,167-173 Flinders Street,Townsville,4810,QLD,Townsville & Northern QLD,
Herbert Hotel,116 Sturt Street,Townsville,4810,QLD,Townsville & Northern QLD,
Jupiters Casino Townsville ,Sir Leslie Thiess Drive,Townsville,4810,QLD,Townsville & Northern QLD,
River View Tavern ,247-251 Riverside Boulevard,Riverside Gardens,4814,QLD,Townsville & Northern QLD,
Cube Hotel,169 Margaret St,Toowoomba,4350,QLD,Toowoomba & Darling Downs,
Southern Hotel,839 Ruthven St,Toowoomba,4350,QLD,Toowoomba & Darling Downs,
Spotted Cow,296 Ruthven Street,Toowoomba,4350,QLD,Toowoomba & Darling Downs,
Fitzy's Fibber Magee,153 Margaret Street,Toowoomba,4350,QLD,Toowoomba & Darling Downs,
Tomba's Nightclub,12 Russell St,Toowoomba,4350,QLD,Toowoomba & Darling Downs,
Bramble Bay Bowls Club,Hornibrook Esplanade,Woody Point,4019,Gold Coast,,
Bribie Island Golf Course,Links Court,Woorim,4507,Gold Coast,,
Caloundra Golf Club,1 Charles Woodward Drv,Caloundra,4551,Gold Coast,,
Caloundra RSL,19 West Terrace,Caloundra,4551,Gold Coast,,
Ettamogah Pub ,73 Frizzo Road,Palmview,4553,Gold Coast,,
Mooloolaba Surf Life Saving Club,The Esplanade,Mooloolaba,4557,Gold Coast,,
North Shore Cellars,Shop 16 Centro Plaza Cnr David Low Way & Menzies,Pacific Paradise,4564,Gold Coast,,
Soave Lounge,17 Brisbane Rd,Mooloolaba,4557,Gold Coast,,
Solbar,19 Ocean St,Maroochydore,4558,Gold Coast,,
The Palace Hotel,2 Gayundah Esplanade,Woody Point,4019,Gold Coast,,
Caboolture Golf Club,Lesley Ave,Caboolture,4510,Gold Coast,,
Criterion Hotel - Maryborough,98 Wharf Street,Maryborough,4650,Gold Coast,,
Nomads - Noosa,44 Noosa Drive,Noosa,4567,Gold Coast,,
The Creek Hotel,172 Karawatha Drive,Moutain Creek,4557,Gold Coast,,
Hotel Maroochydore,201 - 207 Maroochydore Road,Maroochydore,4558,Gold Coast,,
Alexandra Headlands Surf Life Saving Club,167 Alexandra Parade,Alexandra Headland,4572,Gold Coast,,
Mink Mooloolaba,CNR Brisbane Rd & Mooloolaba Esp,Mooloolaba,4557,Gold Coast,,
Peregian Beach Hotel ,221/229 David Low Way,Peregian Beach,4573,Gold Coast,,
Ginger Mule,8 William St,Rockhampton,4700,QLD,Rockhampton & Capricorn Coast,
Heritage Tavern,228 Quay St,Rockhampton,4700,QLD,Rockhampton & Capricorn Coast,
Oxford Hotel,Cnr Denham & East Sts,Rockhampton,4700,QLD,Rockhampton & Capricorn Coast,
Packhurst Tavern,800 Yaamba Road,Rockhampton,4700,QLD,Rockhampton & Capricorn Coast,
Park Avenue Hotel,Cnr Main & Haynes Road,Rockhampton,4700,QLD,Rockhampton & Capricorn Coast,
Studio 2,128128 East St,Rockhampton,4700,QLD,Rockhampton & Capricorn Coast,
Criterion Hotel - Rockhampton,150 Quay St,Rockhampton,4700,QLD,Rockhampton & Capricorn Coast,
RQ's Tavern,Cnr Robina Park Dve & Markeri Rds,Robina,4226,Gold Coast,,
Arana Leagues Club,Dawson Parade ,Arana Hills,4054,Brisbane,Northan Suburbs,
Noosa Surf Club,69 Hastings St,Noosa Heads,4567,QLD,Sunshine Coast,
Rolling Rock,18 Hastings St,Noosa Heads,4567,QLD,Sunshine Coast,
AM Bar & Bistro,9 Gregory St,Mackay,4740,QLD,Mackay & Coalfields,
Sails Sports Bar,Mulherin Drve,Mackay Harbour,4740,QLD,Mackay & Coalfields,
Zeebar,85 Victoria St,Mackay,4740,QLD,Mackay & Coalfields,
Palace Hotel - Mackay,82 Victoria Street,Mackay,4740,QLD,Mackay & Coalfields,
Andergrove Tavern,64 Andergrove Road,Andergrove,4740,QLD,Mackay & Coalfields,
Blacks Beach Tavern,CNR Blacks Beach Rd & Slater Ave,Mackay,4740,QLD,Mackay & Coalfields,
Cocktails Nightclub,134 Brisbane St,Ipswich,4305,Brisbane,Western Suburbs & Ipswich,
Racecourse Hotel,215 Brisbane Road ,Ipswich,4305,Brisbane,Western Suburbs & Ipswich,
Prince Alfred Hotel ,170 Brisbane Road,Booval,4304,Brisbane,Western Suburbs & Ipswich,
Coronation Hotel,254 Brisbane Street,West Ipswich?,4305,Brisbane,Western Suburbs & Ipswich,
Raceview Tavern,99 Raceview Street,Raceview,4305,Brisbane,Western Suburbs & Ipswich,
Walloon Hotel,1 Queen Street ,Walloon,4306,Brisbane,Western Suburbs & Ipswich,
Sundowner Hotel,2320 Warrego Highway,Haigslea,4306,Brisbane,Western Suburbs & Ipswich,
City Golf Club,254 South Street,Ipswich,4305,Brisbane,Western Suburbs & Ipswich,
Weroona Hotel,229 Brisbane Road,Goodna,4300,Brisbane,Western Suburbs & Ipswich,
Torquay Hotel,421 Charlton Esplanade,?Torquay,4655,QLD,Hervey Bay & Fraser Coast,
Bayswater Hotel,569 The Esplanade,Urangan,4655,QLD,Hervey Bay & Fraser Coast,
Hoolihans Irish Rest,382 The Esplanade,Hervey Bay,4655,QLD,Hervey Bay & Fraser Coast,
Royal Hotel,190 Mary St,Gympie,4570,QLD,Sunshine Coast,
Victory Hotel,54 Bath Tce,Gympie,4570,QLD,Sunshine Coast,
Charlie Hotel,Nash St,Gympie,4570,QLD,Sunshine Coast,
Mt Pleasant Hotel,69 Mt Pleasant Rd,Gympie,4570,QLD,Sunshine Coast,
Avenue Bar,4 Orchid Avenue,Surfers Paradise,4217,Gold Coast,,
Cocktails & Dreams,515 Orchid Ave,Surfers Paradise,4217,Gold Coast,,
Fiddlers Green,39 Cavill Ave,Surfers Paradise,4217,Gold Coast,,
Grand Hotel Labrador,360 Marine Pde,Labrador,4216,Gold Coast,,
Howl at the Moon,Lvl 1 19-21 Victoria Ave,Broadbeach,4218,Gold Coast,,
Jupiters Casino,Casino Drve,Broadbeach,4218,Gold Coast,,
Kirra Beach Hotel - Liquor Barn,Cnr Miles St & Marine Pde,Kirra,4225,Gold Coast,,
Melbas on the Park,"1st Floor, 46 Cavill Ave",Surfers Paradise,4217,Gold Coast,,
Metricon Stadium ,Nerang - Broadbeach Rd,Carrara,4211,Gold Coast,,
Robina Tavern,Cnr Ron Pen Haligon & Commerce Dr,Robina,4226,Gold Coast,,
Runaway Bay Tavern,576 Lae Drve,Runaway Bay,4216,Gold Coast,,
Shooters Bar,Shop 62-66 Mark Building,Surfers Paradise,4217,Gold Coast,,
Southport Sharks,Cnr Musgrave & Olsen Ave,Southport,4215,Gold Coast,,
